flight_id,airline,source,destination,route,departure_time,arrival_time,duration,duration_minutes,dep_hour,time_of_day_bucket,route_mean_duration,route_std_duration,is_duration_outlier
UK121,Vistara,BLR,BOM,BLR -> BOM,08:36:42,12:36:42,04:00:00,240.0,8,Morning,147.73,73.89,0
SJ093,SpiceJet,BLR,BOM,BLR -> BOM,21:55:42,23:01:42,01:06:00,66.0,21,Night,147.73,73.89,0
SJ170,SpiceJet,BLR,BOM,BLR -> BOM,10:11:42,11:56:42,01:45:00,105.0,10,Morning,147.73,73.89,0
SJ191,SpiceJet,BLR,BOM,BLR -> BOM,03:01:42,04:23:42,01:22:00,82.0,3,Night,147.73,73.89,0
AI243,Air India,BLR,BOM,BLR -> BOM,02:50:42,05:09:42,02:19:00,139.0,2,Night,147.73,73.89,0
6F233,IndiGo,BLR,BOM,BLR -> BOM,23:56:42,03:53:42,03:57:00,237.0,23,Night,147.73,73.89,0
SJ188,SpiceJet,BLR,BOM,BLR -> BOM,22:15:42,22:55:42,00:40:00,40.0,22,Night,147.73,73.89,0
AI253,Air India,BLR,BOM,BLR -> BOM,16:13:42,19:51:42,03:38:00,218.0,16,Afternoon,147.73,73.89,0
UK054,Vistara,BLR,BOM,BLR -> BOM,00:37:42,05:30:42,04:53:00,293.0,0,Night,147.73,73.89,1
SJ037,SpiceJet,BLR,BOM,BLR -> BOM,19:14:42,22:31:42,03:17:00,197.0,19,Evening,147.73,73.89,0
UK044,Vistara,BLR,BOM,BLR -> BOM,20:31:42,23:29:42,02:58:00,178.0,20,Evening,147.73,73.89,0
UK061,Vistara,BLR,BOM,BLR -> BOM,17:58:42,19:48:42,01:50:00,110.0,17,Evening,147.73,73.89,0
UK032,Vistara,BLR,BOM,BLR -> BOM,03:31:42,07:28:42,03:57:00,237.0,3,Night,147.73,73.89,0
AI050,Air India,BLR,BOM,BLR -> BOM,17:07:42,19:42:42,02:35:00,155.0,17,Evening,147.73,73.89,0
UK160,Vistara,BLR,BOM,BLR -> BOM,06:42:42,10:58:42,04:16:00,256.0,6,Morning,147.73,73.89,0
UK053,Vistara,BLR,BOM,BLR -> BOM,23:56:42,02:46:42,02:50:00,170.0,23,Night,147.73,73.89,0
6F105,IndiGo,BLR,BOM,BLR -> BOM,11:46:42,12:58:42,01:12:00,72.0,11,Morning,147.73,73.89,0
SJ020,SpiceJet,BLR,BOM,BLR -> BOM,22:18:42,02:27:42,04:09:00,249.0,22,Night,147.73,73.89,0
AI228,Air India,BLR,BOM,BLR -> BOM,13:16:42,17:44:42,04:28:00,268.0,13,Afternoon,147.73,73.89,1
AI099,Air India,BLR,BOM,BLR -> BOM,11:07:42,13:29:42,02:22:00,142.0,11,Morning,147.73,73.89,0
UK175,Vistara,BLR,BOM,BLR -> BOM,23:56:42,03:18:42,03:22:00,202.0,23,Night,147.73,73.89,0
6F094,IndiGo,BLR,BOM,BLR -> BOM,07:37:42,09:06:42,01:29:00,89.0,7,Morning,147.73,73.89,0
6F217,IndiGo,BLR,BOM,BLR -> BOM,05:13:42,08:01:42,02:48:00,168.0,5,Morning,147.73,73.89,0
AI015,Air India,BLR,CCU,BLR -> CCU,23:21:42,01:15:42,01:54:00,114.0,23,Night,128.52,75.23,0
AI108,Air India,BLR,CCU,BLR -> CCU,21:32:42,00:17:42,02:45:00,165.0,21,Night,128.52,75.23,0
SJ091,SpiceJet,BLR,CCU,BLR -> CCU,23:10:42,00:47:42,01:37:00,97.0,23,Night,128.52,75.23,0
UK060,Vistara,BLR,CCU,BLR -> CCU,16:09:42,19:42:42,03:33:00,213.0,16,Afternoon,128.52,75.23,0
AI201,Air India,BLR,CCU,BLR -> CCU,15:19:42,16:40:42,01:21:00,81.0,15,Afternoon,128.52,75.23,0
AI157,Air India,BLR,CCU,BLR -> CCU,22:45:42,01:33:42,02:48:00,168.0,22,Night,128.52,75.23,0
AI152,Air India,BLR,CCU,BLR -> CCU,19:21:42,20:26:42,01:05:00,65.0,19,Evening,128.52,75.23,0
AI242,Air India,BLR,CCU,BLR -> CCU,16:41:42,17:43:42,01:02:00,62.0,16,Afternoon,128.52,75.23,0
6F212,IndiGo,BLR,CCU,BLR -> CCU,06:10:42,10:52:42,04:42:00,282.0,6,Morning,128.52,75.23,1
AI072,Air India,BLR,CCU,BLR -> CCU,15:34:42,16:32:42,00:58:00,58.0,15,Afternoon,128.52,75.23,0
UK052,Vistara,BLR,CCU,BLR -> CCU,20:48:42,21:40:42,00:52:00,52.0,20,Evening,128.52,75.23,0
AI209,Air India,BLR,CCU,BLR -> CCU,17:25:42,18:37:42,01:12:00,72.0,17,Evening,128.52,75.23,0
UK183,Vistara,BLR,CCU,BLR -> CCU,17:07:42,18:30:42,01:23:00,83.0,17,Evening,128.52,75.23,0
SJ147,SpiceJet,BLR,CCU,BLR -> CCU,04:30:42,08:52:42,04:22:00,262.0,4,Night,128.52,75.23,1
UK073,Vistara,BLR,CCU,BLR -> CCU,03:59:42,08:09:42,04:10:00,250.0,3,Night,128.52,75.23,1
6F091,IndiGo,BLR,CCU,BLR -> CCU,10:10:42,11:36:42,01:26:00,86.0,10,Morning,128.52,75.23,0
6F009,IndiGo,BLR,CCU,BLR -> CCU,20:21:42,23:36:42,03:15:00,195.0,20,Evening,128.52,75.23,0
6F072,IndiGo,BLR,CCU,BLR -> CCU,02:14:42,03:11:42,00:57:00,57.0,2,Night,128.52,75.23,0
UK168,Vistara,BLR,CCU,BLR -> CCU,03:20:42,04:09:42,00:49:00,49.0,3,Night,128.52,75.23,0
SJ234,SpiceJet,BLR,CCU,BLR -> CCU,04:20:42,06:23:42,02:03:00,123.0,4,Night,128.52,75.23,0
6F149,IndiGo,BLR,CCU,BLR -> CCU,17:57:42,20:42:42,02:45:00,165.0,17,Evening,128.52,75.23,0
AI146,Air India,BLR,DEL,BLR -> DEL,10:40:42,13:46:42,03:06:00,186.0,10,Morning,156.95,85.17,0
SJ038,SpiceJet,BLR,DEL,BLR -> DEL,14:57:42,17:46:42,02:49:00,169.0,14,Afternoon,156.95,85.17,0
AI219,Air India,BLR,DEL,BLR -> DEL,09:28:42,11:27:42,01:59:00,119.0,9,Morning,156.95,85.17,0
UK204,Vistara,BLR,DEL,BLR -> DEL,14:46:42,16:24:42,01:38:00,98.0,14,Afternoon,156.95,85.17,0
6F027,IndiGo,BLR,DEL,BLR -> DEL,16:52:42,18:21:42,01:29:00,89.0,16,Afternoon,156.95,85.17,0
6F191,IndiGo,BLR,DEL,BLR -> DEL,14:41:42,15:11:42,00:30:00,30.0,14,Afternoon,156.95,85.17,0
AI167,Air India,BLR,DEL,BLR -> DEL,06:43:42,11:10:42,04:27:00,267.0,6,Morning,156.95,85.17,0
AI141,Air India,BLR,DEL,BLR -> DEL,10:16:42,14:53:42,04:37:00,277.0,10,Morning,156.95,85.17,0
AI176,Air India,BLR,DEL,BLR -> DEL,04:20:42,06:25:42,02:05:00,125.0,4,Night,156.95,85.17,0
UK081,Vistara,BLR,DEL,BLR -> DEL,22:00:42,23:00:42,01:00:00,60.0,22,Night,156.95,85.17,0
SJ019,SpiceJet,BLR,DEL,BLR -> DEL,13:07:42,15:56:42,02:49:00,169.0,13,Afternoon,156.95,85.17,0
6F216,IndiGo,BLR,DEL,BLR -> DEL,21:58:42,02:51:42,04:53:00,293.0,21,Night,156.95,85.17,1
SJ201,SpiceJet,BLR,DEL,BLR -> DEL,09:10:42,11:12:42,02:02:00,122.0,9,Morning,156.95,85.17,0
AI215,Air India,BLR,DEL,BLR -> DEL,12:07:42,13:43:42,01:36:00,96.0,12,Afternoon,156.95,85.17,0
SJ243,SpiceJet,BLR,DEL,BLR -> DEL,18:17:42,23:03:42,04:46:00,286.0,18,Evening,156.95,85.17,1
SJ244,SpiceJet,BLR,DEL,BLR -> DEL,13:51:42,15:39:42,01:48:00,108.0,13,Afternoon,156.95,85.17,0
UK142,Vistara,BLR,DEL,BLR -> DEL,03:03:42,07:13:42,04:10:00,250.0,3,Night,156.95,85.17,0
AI136,Air India,BLR,DEL,BLR -> DEL,20:29:42,23:48:42,03:19:00,199.0,20,Evening,156.95,85.17,0
6F083,IndiGo,BLR,DEL,BLR -> DEL,05:24:42,06:03:42,00:39:00,39.0,5,Morning,156.95,85.17,0
SJ154,SpiceJet,BLR,HYD,BLR -> HYD,14:47:42,16:26:42,01:39:00,99.0,14,Afternoon,155.68,56.33,0
UK203,Vistara,BLR,HYD,BLR -> HYD,04:12:42,05:24:42,01:12:00,72.0,4,Night,155.68,56.33,0
AI249,Air India,BLR,HYD,BLR -> HYD,03:38:42,06:27:42,02:49:00,169.0,3,Night,155.68,56.33,0
6F203,IndiGo,BLR,HYD,BLR -> HYD,11:05:42,12:56:42,01:51:00,111.0,11,Morning,155.68,56.33,0
AI187,Air India,BLR,HYD,BLR -> HYD,23:32:42,01:16:42,01:44:00,104.0,23,Night,155.68,56.33,0
UK017,Vistara,BLR,HYD,BLR -> HYD,13:14:42,14:49:42,01:35:00,95.0,13,Afternoon,155.68,56.33,0
SJ062,SpiceJet,BLR,HYD,BLR -> HYD,13:37:42,17:06:42,03:29:00,209.0,13,Afternoon,155.68,56.33,0
UK096,Vistara,BLR,HYD,BLR -> HYD,22:11:42,00:06:42,01:55:00,115.0,22,Night,155.68,56.33,0
UK047,Vistara,BLR,HYD,BLR -> HYD,18:40:42,22:45:42,04:05:00,245.0,18,Evening,155.68,56.33,1
AI003,Air India,BLR,HYD,BLR -> HYD,13:27:42,16:55:42,03:28:00,208.0,13,Afternoon,155.68,56.33,0
6F131,IndiGo,BLR,HYD,BLR -> HYD,10:22:42,14:20:42,03:58:00,238.0,10,Morning,155.68,56.33,0
AI235,Air India,BLR,HYD,BLR -> HYD,22:45:42,02:12:42,03:27:00,207.0,22,Night,155.68,56.33,0
6F068,IndiGo,BLR,HYD,BLR -> HYD,11:17:42,15:06:42,03:49:00,229.0,11,Morning,155.68,56.33,0
SJ108,SpiceJet,BLR,HYD,BLR -> HYD,00:40:42,03:16:42,02:36:00,156.0,0,Night,155.68,56.33,0
AI226,Air India,BLR,HYD,BLR -> HYD,01:19:42,04:08:42,02:49:00,169.0,1,Night,155.68,56.33,0
SJ242,SpiceJet,BLR,HYD,BLR -> HYD,14:55:42,17:42:42,02:47:00,167.0,14,Afternoon,155.68,56.33,0
SJ145,SpiceJet,BLR,HYD,BLR -> HYD,17:41:42,20:38:42,02:57:00,177.0,17,Evening,155.68,56.33,0
UK197,Vistara,BLR,HYD,BLR -> HYD,09:22:42,10:54:42,01:32:00,92.0,9,Morning,155.68,56.33,0
6F066,IndiGo,BLR,HYD,BLR -> HYD,06:07:42,07:43:42,01:36:00,96.0,6,Morning,155.68,56.33,0
AI227,Air India,BLR,MAA,BLR -> MAA,04:31:42,08:17:42,03:46:00,226.0,4,Night,187.31,68.64,0
SJ092,SpiceJet,BLR,MAA,BLR -> MAA,13:19:42,17:56:42,04:37:00,277.0,13,Afternoon,187.31,68.64,0
6F098,IndiGo,BLR,MAA,BLR -> MAA,10:18:42,12:49:42,02:31:00,151.0,10,Morning,187.31,68.64,0
6F134,IndiGo,BLR,MAA,BLR -> MAA,12:47:42,14:06:42,01:19:00,79.0,12,Afternoon,187.31,68.64,0
6F095,IndiGo,BLR,MAA,BLR -> MAA,01:53:42,05:34:42,03:41:00,221.0,1,Night,187.31,68.64,0
6F242,IndiGo,BLR,MAA,BLR -> MAA,21:10:42,01:04:42,03:54:00,234.0,21,Night,187.31,68.64,0
UK139,Vistara,BLR,MAA,BLR -> MAA,10:54:42,14:31:42,03:37:00,217.0,10,Morning,187.31,68.64,0
AI191,Air India,BLR,MAA,BLR -> MAA,07:57:42,11:58:42,04:01:00,241.0,7,Morning,187.31,68.64,0
UK068,Vistara,BLR,MAA,BLR -> MAA,16:28:42,18:09:42,01:41:00,101.0,16,Afternoon,187.31,68.64,0
SJ077,SpiceJet,BLR,MAA,BLR -> MAA,17:32:42,19:40:42,02:08:00,128.0,17,Evening,187.31,68.64,0
SJ085,SpiceJet,BLR,MAA,BLR -> MAA,14:41:42,19:11:42,04:30:00,270.0,14,Afternoon,187.31,68.64,0
UK080,Vistara,BLR,MAA,BLR -> MAA,21:09:42,22:29:42,01:20:00,80.0,21,Night,187.31,68.64,0
AI064,Air India,BLR,MAA,BLR -> MAA,18:24:42,20:07:42,01:43:00,103.0,18,Evening,187.31,68.64,0
6F002,IndiGo,BLR,MAA,BLR -> MAA,14:11:42,17:34:42,03:23:00,203.0,14,Afternoon,187.31,68.64,0
UK189,Vistara,BLR,MAA,BLR -> MAA,15:07:42,18:51:42,03:44:00,224.0,15,Afternoon,187.31,68.64,0
6F021,IndiGo,BLR,MAA,BLR -> MAA,21:23:42,01:25:42,04:02:00,242.0,21,Night,187.31,68.64,0
6F197,IndiGo,BOM,BLR,BOM -> BLR,17:59:42,22:44:42,04:45:00,285.0,17,Evening,176.52,70.98,1
6F006,IndiGo,BOM,BLR,BOM -> BLR,03:06:42,05:06:42,02:00:00,120.0,3,Night,176.52,70.98,0
AI041,Air India,BOM,BLR,BOM -> BLR,14:08:42,15:59:42,01:51:00,111.0,14,Afternoon,176.52,70.98,0
AI006,Air India,BOM,BLR,BOM -> BLR,03:04:42,05:54:42,02:50:00,170.0,3,Night,176.52,70.98,0
6F082,IndiGo,BOM,BLR,BOM -> BLR,20:26:42,22:26:42,02:00:00,120.0,20,Evening,176.52,70.98,0
AI246,Air India,BOM,BLR,BOM -> BLR,03:22:42,06:41:42,03:19:00,199.0,3,Night,176.52,70.98,0
AI130,Air India,BOM,BLR,BOM -> BLR,10:18:42,12:59:42,02:41:00,161.0,10,Morning,176.52,70.98,0
AI037,Air India,BOM,BLR,BOM -> BLR,11:14:42,15:13:42,03:59:00,239.0,11,Morning,176.52,70.98,0
SJ181,SpiceJet,BOM,BLR,BOM -> BLR,00:20:42,01:49:42,01:29:00,89.0,0,Night,176.52,70.98,0
UK170,Vistara,BOM,BLR,BOM -> BLR,09:42:42,11:32:42,01:50:00,110.0,9,Morning,176.52,70.98,0
SJ051,SpiceJet,BOM,BLR,BOM -> BLR,08:40:42,12:18:42,03:38:00,218.0,8,Morning,176.52,70.98,0
UK186,Vistara,BOM,BLR,BOM -> BLR,23:05:42,02:22:42,03:17:00,197.0,23,Night,176.52,70.98,0
AI225,Air India,BOM,BLR,BOM -> BLR,15:05:42,16:01:42,00:56:00,56.0,15,Afternoon,176.52,70.98,0
6F100,IndiGo,BOM,BLR,BOM -> BLR,04:40:42,07:49:42,03:09:00,189.0,4,Night,176.52,70.98,0
6F029,IndiGo,BOM,BLR,BOM -> BLR,07:31:42,11:45:42,04:14:00,254.0,7,Morning,176.52,70.98,0
AI020,Air India,BOM,BLR,BOM -> BLR,03:53:42,06:21:42,02:28:00,148.0,3,Night,176.52,70.98,0
AI073,Air India,BOM,BLR,BOM -> BLR,14:08:42,16:10:42,02:02:00,122.0,14,Afternoon,176.52,70.98,0
SJ081,SpiceJet,BOM,BLR,BOM -> BLR,17:04:42,18:53:42,01:49:00,109.0,17,Evening,176.52,70.98,0
AI068,Air India,BOM,BLR,BOM -> BLR,02:48:42,04:48:42,02:00:00,120.0,2,Night,176.52,70.98,0
6F172,IndiGo,BOM,BLR,BOM -> BLR,09:53:42,14:46:42,04:53:00,293.0,9,Morning,176.52,70.98,1
UK072,Vistara,BOM,BLR,BOM -> BLR,02:55:42,05:55:42,03:00:00,180.0,2,Night,176.52,70.98,0
6F031,IndiGo,BOM,BLR,BOM -> BLR,02:00:42,06:37:42,04:37:00,277.0,2,Night,176.52,70.98,0
AI093,Air India,BOM,BLR,BOM -> BLR,12:35:42,17:28:42,04:53:00,293.0,12,Afternoon,176.52,70.98,1
AI155,Air India,BOM,CCU,BOM -> CCU,23:35:42,01:23:42,01:48:00,108.0,23,Night,169.51,72.02,0
6F026,IndiGo,BOM,CCU,BOM -> CCU,22:46:42,03:13:42,04:27:00,267.0,22,Night,169.51,72.02,0
SJ007,SpiceJet,BOM,CCU,BOM -> CCU,10:03:42,14:53:42,04:50:00,290.0,10,Morning,169.51,72.02,1
AI012,Air India,BOM,CCU,BOM -> CCU,05:44:42,09:47:42,04:03:00,243.0,5,Morning,169.51,72.02,0
6F058,IndiGo,BOM,CCU,BOM -> CCU,01:04:42,03:33:42,02:29:00,149.0,1,Night,169.51,72.02,0
6F256,IndiGo,BOM,CCU,BOM -> CCU,18:40:42,19:13:42,00:33:00,33.0,18,Evening,169.51,72.02,0
6F214,IndiGo,BOM,CCU,BOM -> CCU,01:21:42,05:20:42,03:59:00,239.0,1,Night,169.51,72.02,0
6F173,IndiGo,BOM,CCU,BOM -> CCU,12:19:42,13:08:42,00:49:00,49.0,12,Afternoon,169.51,72.02,0
UK128,Vistara,BOM,CCU,BOM -> CCU,11:22:42,14:11:42,02:49:00,169.0,11,Morning,169.51,72.02,0
UK213,Vistara,BOM,CCU,BOM -> CCU,23:21:42,01:01:42,01:40:00,100.0,23,Night,169.51,72.02,0
UK106,Vistara,BOM,CCU,BOM -> CCU,15:12:42,17:23:42,02:11:00,131.0,15,Afternoon,169.51,72.02,0
AI184,Air India,BOM,CCU,BOM -> CCU,15:03:42,17:03:42,02:00:00,120.0,15,Afternoon,169.51,72.02,0
UK094,Vistara,BOM,CCU,BOM -> CCU,23:26:42,01:11:42,01:45:00,105.0,23,Night,169.51,72.02,0
UK027,Vistara,BOM,CCU,BOM -> CCU,22:44:42,01:05:42,02:21:00,141.0,22,Night,169.51,72.02,0
SJ239,SpiceJet,BOM,CCU,BOM -> CCU,22:24:42,00:10:42,01:46:00,106.0,22,Night,169.51,72.02,0
SJ227,SpiceJet,BOM,CCU,BOM -> CCU,08:32:42,12:53:42,04:21:00,261.0,8,Morning,169.51,72.02,0
SJ057,SpiceJet,BOM,CCU,BOM -> CCU,02:17:42,05:29:42,03:12:00,192.0,2,Night,169.51,72.02,0
6F078,IndiGo,BOM,CCU,BOM -> CCU,22:04:42,23:37:42,01:33:00,93.0,22,Night,169.51,72.02,0
AI036,Air India,BOM,CCU,BOM -> CCU,14:45:42,16:16:42,01:31:00,91.0,14,Afternoon,169.51,72.02,0
AI203,Air India,BOM,CCU,BOM -> CCU,00:09:42,02:56:42,02:47:00,167.0,0,Night,169.51,72.02,0
SJ177,SpiceJet,BOM,CCU,BOM -> CCU,13:04:42,17:37:42,04:33:00,273.0,13,Afternoon,169.51,72.02,0
6F194,IndiGo,BOM,CCU,BOM -> CCU,16:29:42,18:27:42,01:58:00,118.0,16,Afternoon,169.51,72.02,0
SJ151,SpiceJet,BOM,CCU,BOM -> CCU,17:44:42,19:16:42,01:32:00,92.0,17,Evening,169.51,72.02,0
AI247,Air India,BOM,CCU,BOM -> CCU,15:58:42,19:02:42,03:04:00,184.0,15,Afternoon,169.51,72.02,0
AI018,Air India,BOM,CCU,BOM -> CCU,13:12:42,18:04:42,04:52:00,292.0,13,Afternoon,169.51,72.02,1
SJ230,SpiceJet,BOM,CCU,BOM -> CCU,06:22:42,10:57:42,04:35:00,275.0,6,Morning,169.51,72.02,0
SJ190,SpiceJet,BOM,CCU,BOM -> CCU,04:57:42,09:25:42,04:28:00,268.0,4,Night,169.51,72.02,0
AI245,Air India,BOM,CCU,BOM -> CCU,23:07:42,01:43:42,02:36:00,156.0,23,Night,169.51,72.02,0
AI058,Air India,BOM,CCU,BOM -> CCU,22:40:42,00:18:42,01:38:00,98.0,22,Night,169.51,72.02,0
6F182,IndiGo,BOM,CCU,BOM -> CCU,02:10:42,04:18:42,02:08:00,128.0,2,Night,169.51,72.02,0
6F015,IndiGo,BOM,CCU,BOM -> CCU,23:39:42,02:27:42,02:48:00,168.0,23,Night,169.51,72.02,0
AI016,Air India,BOM,CCU,BOM -> CCU,14:15:42,18:38:42,04:23:00,263.0,14,Afternoon,169.51,72.02,0
SJ097,SpiceJet,BOM,CCU,BOM -> CCU,02:37:42,05:27:42,02:50:00,170.0,2,Night,169.51,72.02,0
AI216,Air India,BOM,CCU,BOM -> CCU,01:10:42,02:34:42,01:24:00,84.0,1,Night,169.51,72.02,0
AI180,Air India,BOM,CCU,BOM -> CCU,10:19:42,11:00:42,00:41:00,41.0,10,Morning,169.51,72.02,0
AI197,Air India,BOM,CCU,BOM -> CCU,16:25:42,20:00:42,03:35:00,215.0,16,Afternoon,169.51,72.02,0
AI057,Air India,BOM,CCU,BOM -> CCU,15:53:42,19:22:42,03:29:00,209.0,15,Afternoon,169.51,72.02,0
AI218,Air India,BOM,CCU,BOM -> CCU,08:55:42,11:55:42,03:00:00,180.0,8,Morning,169.51,72.02,0
AI172,Air India,BOM,CCU,BOM -> CCU,19:08:42,19:53:42,00:45:00,45.0,19,Evening,169.51,72.02,0
AI129,Air India,BOM,CCU,BOM -> CCU,10:29:42,13:38:42,03:09:00,189.0,10,Morning,169.51,72.02,0
AI122,Air India,BOM,CCU,BOM -> CCU,18:25:42,22:36:42,04:11:00,251.0,18,Evening,169.51,72.02,0
SJ213,SpiceJet,BOM,CCU,BOM -> CCU,01:19:42,04:48:42,03:29:00,209.0,1,Night,169.51,72.02,0
AI008,Air India,BOM,CCU,BOM -> CCU,10:43:42,12:43:42,02:00:00,120.0,10,Morning,169.51,72.02,0
UK067,Vistara,BOM,CCU,BOM -> CCU,21:36:42,01:02:42,03:26:00,206.0,21,Night,169.51,72.02,0
UK152,Vistara,BOM,CCU,BOM -> CCU,17:24:42,20:13:42,02:49:00,169.0,17,Evening,169.51,72.02,0
SJ119,SpiceJet,BOM,CCU,BOM -> CCU,08:53:42,11:29:42,02:36:00,156.0,8,Morning,169.51,72.02,0
UK119,Vistara,BOM,CCU,BOM -> CCU,00:21:42,04:38:42,04:17:00,257.0,0,Night,169.51,72.02,0
SJ216,SpiceJet,BOM,CCU,BOM -> CCU,18:35:42,21:31:42,02:56:00,176.0,18,Evening,169.51,72.02,0
SJ018,SpiceJet,BOM,CCU,BOM -> CCU,10:58:42,13:31:42,02:33:00,153.0,10,Morning,169.51,72.02,0
AI019,Air India,BOM,CCU,BOM -> CCU,10:49:42,11:51:42,01:02:00,62.0,10,Morning,169.51,72.02,0
6F178,IndiGo,BOM,CCU,BOM -> CCU,04:48:42,09:11:42,04:23:00,263.0,4,Night,169.51,72.02,0
UK066,Vistara,BOM,CCU,BOM -> CCU,10:29:42,12:07:42,01:38:00,98.0,10,Morning,169.51,72.02,0
SJ217,SpiceJet,BOM,CCU,BOM -> CCU,02:57:42,06:04:42,03:07:00,187.0,2,Night,169.51,72.02,0
SJ133,SpiceJet,BOM,CCU,BOM -> CCU,18:50:42,21:29:42,02:39:00,159.0,18,Evening,169.51,72.02,0
UK151,Vistara,BOM,CCU,BOM -> CCU,10:11:42,13:30:42,03:19:00,199.0,10,Morning,169.51,72.02,0
AI153,Air India,BOM,CCU,BOM -> CCU,15:02:42,16:30:42,01:28:00,88.0,15,Afternoon,169.51,72.02,0
